point,recorded points,len,error
"(638, 125.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((455.5389221556886, 367.4940119760479))"
"(1278, 125.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((184.46107784431138, 367.4940119760479))"
"(150.5, 260.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((943.0389221556886, 232.4940119760479))"
"(630.5, 260.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((463.0389221556886, 232.4940119760479))"
"(1270.5, 260.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((176.96107784431138, 232.4940119760479))"
"(1750.5, 260.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((656.9610778443114, 232.4940119760479))"
"(150.5, 530.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((943.0389221556886, 37.50598802395211))"
"(630.5, 530.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((463.0389221556886, 37.50598802395211))"
"(1270.5, 530.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((176.96107784431138, 37.50598802395211))"
"(1750.5, 530.5)","[(448, 643), (719, 460), (621, 487), (657, 494), (576, 461), (523, 474), (593, 509), (669, 498), (339, 780), (589, 505), (1017, 791), (1594, 426), (1601, 407), (1553, 535), (1579, 428), (1569, 515), (1504, 580), (1606, 492), (1597, 457), (1604, 615), (1578, 669), (665, 478), (339, 378), (484, 341), (460, 341), (642, 428), (475, 398), (498, 382), (441, 333), (427, 319), (629, 546), (666, 520), (732, 464), (588, 535), (494, 598), (596, 513), (443, 600), (673, 487), (667, 491), (481, 571), (416, 489), (618, 504), (483, 613), (579, 550), (411, 594), (493, 513), (1111, 737), (1634, 491), (1611, 573), (1631, 502), (1610, 573), (1565, 531), (1615, 508), (1534, 563), (1564, 665), (1591, 533), (1523, 793), (1580, 490), (1624, 510), (1841, 344), (1722, 304), (1898, 363), (1893, 361), (2082, 423), (2039, 410), (1943, 380), (1915, 371), (1907, 365), (411, 384), (316, 363), (358, 437), (602, 409), (717, 455), (620, 401), (410, 315), (397, 392), (416, 315), (491, 425), (336, 376), (506, 350), (355, 463), (357, 332), (916, 486), (864, 472), (718, 474), (863, 363), (901, 498), (825, 407), (804, 420), (793, 436), (912, 397), (880, 487), (1008, 588), (888, 415), (961, 542), (873, 414), (928, 447), (443, 402), (1203, 733), (1534, 690), (1454, 730), (1604, 458), (1612, 505), (1653, 418), (1649, 417), (1606, 465), (1603, 463), (1601, 576), (1450, 743), (1628, 436), (1649, 372), (1820, 336), (1880, 361), (1823, 340), (1741, 311), (1864, 353), (1837, 358), (508, 356), (373, 401), (379, 436), (491, 371), (506, 613), (416, 351), (785, 438), (756, 469), (895, 412), (824, 411), (981, 676), (932, 481), (912, 499), (975, 662), (988, 555), (969, 580), (948, 505), (948, 525), (960, 532), (1281, 799), (1510, 699), (1620, 560), (1326, 729), (1538, 667), (1556, 661), (1336, 775), (1565, 741), (1619, 511), (1621, 289), (1732, 336), (1610, 516), (1726, 370), (1617, 338), (1677, 312), (1647, 383), (1637, 309), (771, 455), (465, 605), (659, 483), (874, 403), (850, 489), (1013, 670), (1592, 611), (1494, 768), (1511, 695), (1626, 518), (1570, 624), (1435, 788), (1644, 461), (1504, 760)]",167,"((656.9610778443114, 37.50598802395211))"
