point,recorded points,len,error,error angle
"(638, 125.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((513.063829787234, 481.2872340425532))","(16.270563238895214, 3.281013247969296)"
"(1278, 125.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((126.936170212766, 481.2872340425532))","(30.312291016511033, 3.281013247969296)"
"(150.5, 260.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((1000.563829787234, 346.2872340425532))","(3.9385147051690854, 6.785935576573872)"
"(630.5, 260.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((520.563829787234, 346.2872340425532))","(16.08924638622383, 6.785935576573872)"
"(1270.5, 260.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((119.436170212766, 346.2872340425532))","(30.165566897805345, 6.785935576573872)"
"(1750.5, 260.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((599.436170212766, 346.2872340425532))","(38.687501053787074, 6.785935576573872)"
"(150.5, 530.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((1000.563829787234, 76.28723404255322))","(3.9385147051690854, 13.621741111609907)"
"(630.5, 530.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((520.563829787234, 76.28723404255322))","(16.08924638622383, 13.621741111609907)"
"(1270.5, 530.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((119.436170212766, 76.28723404255322))","(30.165566897805345, 13.621741111609907)"
"(1750.5, 530.5)","[(766, 420), (678, 382), (559, 402), (645, 467), (504, 476), (464, 507), (560, 415), (648, 435), (683, 407), (1214, 728), (1431, 693), (1253, 648), (1266, 614), (1368, 635), (1323, 666), (1347, 671), (1163, 644), (1322, 671), (1245, 691), (1136, 776), (1129, 720), (651, 529), (342, 291), (384, 376), (363, 503), (409, 346), (346, 372), (345, 309), (618, 426), (868, 329), (622, 455), (791, 363), (837, 375), (734, 401), (764, 404), (904, 324), (815, 353), (801, 573), (1263, 678), (1390, 680), (1258, 641), (1314, 650), (1403, 658), (1314, 641), (1445, 620), (1469, 562), (1296, 649), (1445, 617), (1287, 683), (1795, 519), (1952, 386), (1922, 387), (1890, 380), (1701, 293), (1581, 456), (1569, 635), (1836, 366), (374, 297), (413, 757), (478, 743), (342, 706), (362, 705), (347, 690), (326, 704), (335, 719), (878, 641), (1022, 782), (1003, 818), (907, 640), (877, 529), (911, 590), (855, 369), (967, 776), (899, 348), (865, 527), (1025, 735), (1056, 704), (1569, 831), (1547, 759), (1479, 753), (1313, 747), (1604, 728), (1601, 803), (1388, 740), (1612, 396), (1855, 418), (1847, 521), (1841, 551), (2066, 576), (1785, 460), (1785, 445), (539, 748), (429, 753), (514, 748), (541, 725), (381, 774), (445, 730), (338, 767), (369, 544), (786, 653), (883, 681), (906, 513), (947, 754), (925, 678), (772, 541), (944, 682), (880, 544), (841, 493), (1147, 845), (1706, 640), (1401, 824), (1346, 810), (1465, 836), (1393, 806), (1416, 670), (1664, 532), (1987, 623), (1884, 599), (1988, 652), (1890, 613), (2098, 625), (2141, 594), (2193, 649), (2151, 644), (1964, 563), (2206, 633), (2149, 611), (949, 726), (1067, 824), (1134, 835), (1038, 834), (1159, 864), (1088, 845), (926, 462), (1489, 853), (1676, 698), (1672, 707), (1615, 762), (1663, 687), (1632, 760), (1601, 797)]",141,"((599.436170212766, 76.28723404255322))","(38.687501053787074, 13.621741111609907)"
