point,recorded points,len,error,error angle X,error angle Y
"(638, 125.5)","[(379.000, 533.000), (481.000, 600.000), (509.000, 656.000), (687.000, 455.000), (587.000, 558.000), (324.000, 791.000), (588.000, 544.000), (526.000, 630.000), (432.000, 600.000)]",9,"(136.556, 470.833)",3.575,3.575
"(1278, 125.5)","[(1460.000, 277.000), (1431.000, 353.000), (1326.000, 309.000), (1308.000, 276.000), (1369.000, 299.000), (1328.000, 273.000), (1220.000, 265.000), (1362.000, 281.000)]",8,"(72.500, 166.125)",1.900,1.900
"(150.5, 260.5)","[(588.000, 614.000), (336.000, 362.000), (736.000, 602.000), (452.000, 490.000), (610.000, 477.000), (781.000, 707.000), (687.000, 607.000)]",7,"(448.071, 290.786)",11.584,11.584
"(630.5, 260.5)","[(734.000, 581.000), (877.000, 334.000), (795.000, 395.000), (721.000, 486.000), (788.000, 415.000), (689.000, 513.000), (816.000, 380.000), (617.000, 563.000)]",8,"(124.125, 197.875)",3.250,3.250
"(1270.5, 260.5)","[(1031.000, 279.000), (1358.000, 304.000), (1361.000, 261.000), (1405.000, 303.000), (1240.000, 268.000), (1399.000, 293.000), (1260.000, 323.000)]",7,"(22.929, 29.643)",0.601,0.601
"(1750.5, 260.5)","[(1868.000, 704.000), (1815.000, 602.000), (1632.000, 273.000), (1742.000, 514.000), (1730.000, 479.000), (1659.000, 393.000), (1721.000, 575.000)]",7,"(12.357, 245.214)",0.324,0.324
"(150.5, 530.5)","[(338.000, 768.000), (319.000, 698.000), (523.000, 452.000), (456.000, 474.000), (402.000, 376.000), (361.000, 424.000), (651.000, 653.000)]",7,"(285.214, 18.786)",7.434,7.434
"(630.5, 530.5)","[(431.000, 489.000), (686.000, 515.000), (785.000, 407.000), (739.000, 446.000), (689.000, 482.000), (565.000, 536.000), (706.000, 467.000), (692.000, 475.000)]",8,"(31.125, 53.375)",0.816,0.816
"(1270.5, 530.5)","[(1440.000, 276.000), (1325.000, 280.000), (1210.000, 522.000), (1213.000, 401.000), (1278.000, 263.000), (1402.000, 289.000), (1324.000, 279.000)]",7,"(42.643, 200.500)",1.118,1.118
"(1750.5, 530.5)","[(1762.000, 525.000), (1706.000, 671.000), (1682.000, 379.000), (1719.000, 393.000), (1701.000, 324.000), (1701.000, 348.000), (1681.000, 395.000), (1713.000, 638.000)]",8,"(42.375, 71.375)",1.111,1.111
"(150.5, 800.5)","[(332.000, 637.000), (315.000, 471.000), (328.000, 462.000), (348.000, 469.000), (387.000, 559.000), (327.000, 608.000), (376.000, 491.000), (334.000, 723.000), (338.000, 491.000)]",9,"(192.278, 254.833)",5.027,5.027
"(630.5, 800.5)","[(447.000, 533.000), (652.000, 562.000), (630.000, 529.000), (742.000, 443.000), (827.000, 381.000), (726.000, 467.000), (697.000, 496.000), (605.000, 569.000), (816.000, 400.000), (723.000, 468.000), (1004.000, 274.000), (860.000, 378.000), (960.000, 415.000)]",13,"(114.808, 345.500)",3.006,3.006
"(1270.5, 800.5)","[(974.000, 360.000), (1366.000, 426.000), (1539.000, 436.000), (1539.000, 443.000), (1626.000, 601.000), (1430.000, 519.000), (1338.000, 617.000)]",7,"(131.214, 314.500)",3.435,3.435
"(1750.5, 800.5)","[(1636.000, 740.000), (1900.000, 880.000), (1912.000, 801.000), (1738.000, 799.000), (1706.000, 663.000), (1652.000, 646.000), (1188.000, 496.000)]",7,"(74.500, 82.643)",1.952,1.952
"(638, 935.5)","[(538.000, 611.000), (927.000, 418.000), (882.000, 394.000), (966.000, 386.000), (909.000, 415.000), (876.000, 373.000), (785.000, 579.000), (948.000, 320.000)]",8,"(215.875, 498.500)",5.640,5.640
"(1278, 935.5)","[(1122.000, 361.000), (1329.000, 726.000), (1393.000, 686.000), (1431.000, 640.000), (1436.000, 768.000), (1470.000, 615.000), (1475.000, 784.000), (1507.000, 617.000), (1020.000, 642.000)]",9,"(75.667, 286.722)",1.982,1.982
