point,recorded points,len,error,error angle X,error angle Y
"(638, 125.5)","[(436.000, 577.000), (443.000, 535.000), (413.000, 588.000), (368.000, 566.000), (531.000, 513.000), (448.000, 560.000), (589.000, 499.000), (449.000, 546.000), (514.000, 526.000), (520.000, 519.000)]",10,"(166.900, 417.400)",4.366,4.366
"(1278, 125.5)","[(509.000, 516.000), (1376.000, 366.000), (1432.000, 337.000), (1520.000, 261.000), (1425.000, 276.000), (1457.000, 311.000), (1563.000, 263.000), (1577.000, 264.000), (1548.000, 262.000), (1547.000, 282.000)]",10,"(117.400, 188.300)",3.074,3.074
"(150.5, 260.5)","[(757.000, 560.000), (592.000, 461.000), (709.000, 524.000), (691.000, 506.000), (697.000, 522.000), (636.000, 480.000), (681.000, 517.000), (538.000, 443.000)]",8,"(512.125, 241.125)",13.185,13.185
"(630.5, 260.5)","[(367.000, 552.000), (465.000, 572.000), (362.000, 699.000), (355.000, 621.000), (442.000, 637.000), (473.000, 605.000), (457.000, 606.000), (448.000, 658.000)]",8,"(209.375, 358.250)",5.471,5.471
"(1270.5, 260.5)","[(1247.000, 403.000), (1670.000, 464.000), (1528.000, 332.000), (1456.000, 306.000), (1398.000, 335.000), (1555.000, 311.000), (1495.000, 344.000), (1442.000, 305.000)]",8,"(203.375, 89.500)",5.315,5.315
"(1750.5, 260.5)","[(1943.000, 695.000), (1794.000, 546.000), (1809.000, 603.000), (1782.000, 531.000), (1729.000, 367.000), (2106.000, 801.000), (1985.000, 696.000), (1780.000, 445.000)]",8,"(115.500, 325.000)",3.025,3.025
"(150.5, 530.5)","[(644.000, 484.000), (327.000, 347.000), (356.000, 445.000), (339.000, 506.000), (314.000, 534.000), (304.000, 453.000), (305.000, 437.000), (304.000, 502.000), (328.000, 569.000), (380.000, 345.000)]",10,"(209.600, 68.300)",5.477,5.477
"(630.5, 530.5)","[(375.000, 626.000), (672.000, 521.000), (669.000, 516.000), (484.000, 684.000), (750.000, 536.000), (440.000, 684.000), (688.000, 576.000), (704.000, 533.000), (518.000, 636.000), (306.000, 542.000)]",10,"(69.900, 54.900)",1.832,1.832
"(1270.5, 530.5)","[(1529.000, 368.000), (1497.000, 433.000), (1522.000, 337.000), (1576.000, 492.000), (1287.000, 407.000), (1563.000, 358.000), (1467.000, 396.000), (1518.000, 320.000), (1442.000, 502.000), (1325.000, 465.000), (1262.000, 334.000)]",11,"(182.955, 129.409)",4.784,4.784
"(1750.5, 530.5)","[(1763.000, 757.000), (1949.000, 733.000), (1734.000, 685.000), (1720.000, 508.000), (1763.000, 506.000), (1736.000, 648.000), (1739.000, 489.000), (1747.000, 526.000), (1725.000, 399.000)]",9,"(13.500, 52.944)",0.354,0.354
"(150.5, 800.5)","[(367.000, 345.000), (316.000, 658.000), (313.000, 559.000), (305.000, 515.000), (337.000, 556.000), (315.000, 372.000), (306.000, 544.000), (351.000, 566.000), (311.000, 562.000), (309.000, 545.000), (320.000, 294.000)]",11,"(172.227, 299.045)",4.505,4.505
"(630.5, 800.5)","[(450.000, 640.000), (1013.000, 469.000), (839.000, 470.000), (825.000, 392.000), (687.000, 492.000), (745.000, 544.000), (856.000, 457.000), (823.000, 617.000), (868.000, 574.000), (783.000, 491.000), (849.000, 394.000), (415.000, 592.000)]",12,"(132.250, 289.500)",3.462,3.462
"(1270.5, 800.5)","[(1362.000, 562.000), (1492.000, 491.000), (1505.000, 496.000), (1435.000, 454.000), (1371.000, 433.000), (1364.000, 472.000), (1339.000, 595.000), (1183.000, 476.000)]",8,"(110.875, 303.125)",2.904,2.904
"(1750.5, 800.5)","[(1782.000, 699.000), (1796.000, 752.000), (1859.000, 779.000), (1978.000, 892.000), (2112.000, 921.000), (2074.000, 925.000), (1699.000, 582.000)]",7,"(149.500, 7.643)",3.912,3.912
"(638, 935.5)","[(652.000, 551.000), (850.000, 679.000), (860.000, 618.000), (857.000, 553.000), (836.000, 563.000), (848.000, 565.000), (851.000, 722.000), (916.000, 467.000)]",8,"(195.750, 345.750)",5.117,5.117
"(1278, 935.5)","[(1321.000, 611.000), (1487.000, 526.000), (1617.000, 702.000), (1475.000, 623.000), (1551.000, 718.000), (1438.000, 753.000), (1567.000, 617.000), (1401.000, 722.000), (1431.000, 605.000), (1086.000, 585.000)]",10,"(159.400, 289.300)",4.171,4.171
