point,recorded points,len,error,error angle
"(638, 125.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((450.4525139664804, 579.6396648044692))","(16.270563238895214, 3.281013247969296)"
"(1278, 125.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((189.5474860335196, 579.6396648044692))","(30.312291016511033, 3.281013247969296)"
"(150.5, 260.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((937.9525139664804, 444.63966480446925))","(3.9385147051690854, 6.785935576573872)"
"(630.5, 260.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((457.9525139664804, 444.63966480446925))","(16.08924638622383, 6.785935576573872)"
"(1270.5, 260.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((182.0474860335196, 444.63966480446925))","(30.165566897805345, 6.785935576573872)"
"(1750.5, 260.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((662.0474860335196, 444.63966480446925))","(38.687501053787074, 6.785935576573872)"
"(150.5, 530.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((937.9525139664804, 174.63966480446925))","(3.9385147051690854, 13.621741111609907)"
"(630.5, 530.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((457.9525139664804, 174.63966480446925))","(16.08924638622383, 13.621741111609907)"
"(1270.5, 530.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((182.0474860335196, 174.63966480446925))","(30.165566897805345, 13.621741111609907)"
"(1750.5, 530.5)","[(582, 522), (555, 677), (734, 539), (629, 574), (689, 547), (616, 560), (758, 465), (665, 529), (897, 760), (898, 735), (912, 776), (672, 667), (786, 660), (1081, 474), (1350, 506), (1319, 527), (1327, 408), (1342, 430), (1187, 604), (1203, 534), (1377, 538), (1392, 472), (398, 558), (353, 555), (397, 679), (328, 621), (316, 650), (320, 591), (339, 619), (501, 686), (761, 795), (789, 820), (723, 598), (781, 715), (811, 671), (888, 748), (751, 604), (726, 710), (649, 642), (679, 596), (789, 703), (747, 572), (748, 587), (650, 619), (677, 631), (708, 615), (488, 775), (1068, 823), (1351, 578), (1360, 643), (1222, 535), (1403, 507), (1319, 552), (1340, 493), (1332, 464), (1237, 606), (1221, 441), (2008, 648), (1739, 420), (1798, 503), (1857, 551), (1787, 429), (1804, 485), (1867, 532), (1912, 567), (441, 687), (420, 656), (366, 559), (596, 814), (460, 760), (515, 766), (570, 766), (537, 767), (727, 842), (660, 804), (580, 742), (632, 759), (947, 870), (869, 824), (973, 893), (833, 803), (1048, 831), (1049, 886), (1015, 845), (1002, 836), (700, 690), (862, 693), (1017, 859), (885, 863), (945, 854), (860, 789), (777, 516), (1628, 402), (1505, 639), (1375, 669), (1279, 638), (1242, 615), (1425, 612), (1447, 593), (1300, 609), (1259, 576), (1272, 701), (1297, 677), (1388, 722), (1550, 748), (1665, 613), (1700, 732), (1788, 594), (1671, 704), (1810, 656), (1659, 669), (1861, 683), (1643, 609), (1646, 616), (479, 760), (748, 787), (702, 853), (750, 797), (692, 841), (598, 763), (683, 847), (600, 784), (724, 780), (607, 780), (777, 819), (943, 894), (935, 874), (882, 772), (966, 903), (1046, 920), (935, 895), (878, 876), (888, 859), (976, 891), (990, 911), (1021, 911), (980, 820), (1138, 831), (1382, 804), (1233, 711), (1430, 787), (1447, 826), (1471, 806), (1372, 722), (1371, 814), (1478, 860), (1479, 829), (1465, 829), (1776, 718), (1870, 764), (1800, 831), (1831, 724), (1868, 818), (1901, 830), (1764, 720), (1890, 794), (831, 770), (866, 872), (956, 889), (1070, 875), (1019, 833), (1125, 896), (1090, 868), (1048, 898), (1094, 860), (1118, 795), (1064, 893), (1166, 840), (1305, 725), (1404, 679), (1475, 770), (1555, 813), (1518, 646), (1432, 684), (1512, 641), (1412, 678), (1471, 787), (1534, 802), (1393, 659)]",179,"((662.0474860335196, 174.63966480446925))","(38.687501053787074, 13.621741111609907)"
