point,recorded points,len,error,error angle X,error angle Y
"(638, 125.5)","[(412.000, 721.000), (344.000, 770.000), (699.000, 593.000), (330.000, 771.000), (632.000, 627.000), (555.000, 654.000), (506.000, 695.000), (649.000, 562.000), (351.000, 617.000), (620.000, 433.000), (449.000, 719.000), (536.000, 657.000)]",12,"(131.083, 526.083)",3.432,3.432
"(1278, 125.5)","[(1396.000, 580.000), (1117.000, 707.000), (1421.000, 731.000), (1308.000, 624.000), (1420.000, 663.000), (1247.000, 635.000), (1445.000, 577.000)]",7,"(58.286, 519.786)",1.527,1.527
"(150.5, 260.5)","[(1297.000, 692.000), (1558.000, 624.000), (1323.000, 664.000), (1092.000, 731.000)]",4,"(1167.000, 417.250)",28.096,28.096
"(630.5, 260.5)","[(452.000, 779.000), (563.000, 681.000), (323.000, 665.000), (638.000, 541.000), (454.000, 777.000), (395.000, 762.000), (401.000, 789.000)]",7,"(169.643, 452.929)",4.438,4.438
"(1270.5, 260.5)","[(1279.000, 653.000), (1260.000, 743.000), (1142.000, 742.000), (1228.000, 703.000), (1202.000, 728.000), (1188.000, 756.000), (1252.000, 674.000), (1323.000, 757.000), (1205.000, 809.000)]",9,"(39.500, 468.944)",1.035,1.035
"(1750.5, 260.5)","[(1642.000, 754.000), (1530.000, 680.000), (2171.000, 522.000), (2108.000, 555.000), (1923.000, 533.000)]",5,"(124.300, 348.300)",3.255,3.255
"(150.5, 530.5)","[(719.000, 821.000), (527.000, 798.000), (455.000, 778.000), (347.000, 794.000), (541.000, 803.000), (412.000, 740.000)]",6,"(349.667, 258.500)",9.088,9.088
"(630.5, 530.5)","[(1094.000, 925.000), (842.000, 735.000)]",2,"(337.500, 299.500)",8.777,8.777
"(1270.5, 530.5)","[(898.000, 755.000), (916.000, 759.000), (969.000, 878.000)]",3,"(342.833, 266.833)",8.913,8.913
"(1750.5, 530.5)","[(1846.000, 684.000)]",1,"(95.500, 153.500)",2.502,2.502
"(150.5, 800.5)","[(1690.000, 796.000)]",1,"(1539.500, 4.500)",35.156,35.156
"(630.5, 800.5)","[(1871.000, 577.000)]",1,"(1240.500, 223.500)",29.574,29.574
"(1270.5, 800.5)","[(1249.000, 1008.000)]",1,"(21.500, 207.500)",0.564,0.564
"(1750.5, 800.5)","[(1628.000, 895.000), (1558.000, 877.000)]",2,"(157.500, 85.500)",4.121,4.121
"(638, 935.5)","[(1119.000, 892.000), (1029.000, 912.000), (1220.000, 988.000), (1343.000, 1003.000), (717.000, 860.000)]",5,"(447.600, 4.500)",11.572,11.572
"(1278, 935.5)","[(1232.000, 1028.000)]",1,"(46.000, 92.500)",1.206,1.206
